[a, new]	6.0	0.001413760603204524
[a, more]	2.0	4.71253534401508E-4
[a, recurrence]	6.0	0.001413760603204524
[a, latest]	1.0	2.35626767200754E-4
[a, large]	1.0	2.35626767200754E-4
[a, study]	8.0	0.001885014137606032
[a, aromatase]	7.0	0.001649387370405278
[a, woman]	2.0	4.71253534401508E-4
[a, standard]	1.0	2.35626767200754E-4
[a, older]	1.0	2.35626767200754E-4
[a, important]	1.0	2.35626767200754E-4
[a, very]	1.0	2.35626767200754E-4
[a, benefit]	1.0	2.35626767200754E-4
[a, increase]	4.0	9.42507068803016E-4
[a, extra]	1.0	2.35626767200754E-4
[a, meeting]	1.0	2.35626767200754E-4
[a, treatment]	1.0	2.35626767200754E-4
[a, earlier]	1.0	2.35626767200754E-4
[a, panel]	1.0	2.35626767200754E-4
[a, milk]	1.0	2.35626767200754E-4
[a, technique]	1.0	2.35626767200754E-4
[a, mammogram]	1.0	2.35626767200754E-4
[a, high]	1.0	2.35626767200754E-4
[a, close]	1.0	2.35626767200754E-4
[a, doctor]	1.0	2.35626767200754E-4
[a, known]	1.0	2.35626767200754E-4
[a, anesthetic]	1.0	2.35626767200754E-4
[a, threadlike]	1.0	2.35626767200754E-4
[a, fraction]	1.0	2.35626767200754E-4
[a, accompany]	2.0	4.71253534401508E-4
[a, editorial]	1.0	2.35626767200754E-4
[a, sensitive]	1.0	2.35626767200754E-4
[a, tool]	1.0	2.35626767200754E-4
[a, australian]	2.0	4.71253534401508E-4
[a, inherit]	1.0	2.35626767200754E-4
[a, less]	1.0	2.35626767200754E-4
[a, strategic]	2.0	4.71253534401508E-4
[a, protein]	1.0	2.35626767200754E-4
[a, tumor]	1.0	2.35626767200754E-4
[a, better]	1.0	2.35626767200754E-4
[a, associate]	1.0	2.35626767200754E-4
[a, sister]	1.0	2.35626767200754E-4
[a, twofold]	1.0	2.35626767200754E-4
[a, higher]	1.0	2.35626767200754E-4
[a, valuable]	1.0	2.35626767200754E-4
[a, professor]	1.0	2.35626767200754E-4
[a, discovery]	2.0	4.71253534401508E-4
[a, series]	1.0	2.35626767200754E-4
[a, cancer-promoting]	1.0	2.35626767200754E-4
[a, fifth]	1.0	2.35626767200754E-4
[a, aggressive]	2.0	4.71253534401508E-4
[a, poor]	1.0	2.35626767200754E-4
[a, antibody]	1.0	2.35626767200754E-4
[a, dietary]	1.0	2.35626767200754E-4
[a, underactive]	2.0	4.71253534401508E-4
[a, condition]	4.0	9.42507068803016E-4
[a, long-debated]	2.0	4.71253534401508E-4
[a, less-aggressive]	1.0	2.35626767200754E-4
[a, variety]	2.0	4.71253534401508E-4
[a, century]	1.0	2.35626767200754E-4
[a, butterfly-shaped]	1.0	2.35626767200754E-4
[a, immune]	1.0	2.35626767200754E-4
[a, publication]	1.0	2.35626767200754E-4
[a, 61]	1.0	2.35626767200754E-4
[a, powerful]	2.0	4.71253534401508E-4
[a, telltale]	2.0	4.71253534401508E-4
[a, signature]	1.0	2.35626767200754E-4
[a, precaution]	1.0	2.35626767200754E-4
[a, third]	1.0	2.35626767200754E-4
[a, silent]	1.0	2.35626767200754E-4
[a, statement]	1.0	2.35626767200754E-4
[a, altered]	1.0	2.35626767200754E-4
[new, type]	2.0	4.71253534401508E-4
[new, cancer]	2.0	4.71253534401508E-4
[new, finding]	1.0	2.35626767200754E-4
[new, study]	1.0	2.35626767200754E-4
[new, datum]	1.0	2.35626767200754E-4
[new, u.s.]	2.0	4.71253534401508E-4
[new, evidence]	2.0	4.71253534401508E-4
[new, medicine]	1.0	2.35626767200754E-4
[new, medication]	1.0	2.35626767200754E-4
[new, diagnostic]	1.0	2.35626767200754E-4
[type, of]	2.0	4.71253534401508E-4
[of, a]	8.0	0.001885014137606032
[of, drug]	4.0	9.42507068803016E-4
[of, more]	1.0	2.35626767200754E-4
[of, many]	1.0	2.35626767200754E-4
[of, breast]	34.0	0.008011310084825637
[of, cancer]	14.0	0.003298774740810556
[of, recurrence]	1.0	2.35626767200754E-4
[of, the]	33.0	0.007775683317624882
[of, study]	1.0	2.35626767200754E-4
[of, aromatase]	1.0	2.35626767200754E-4
[of, develop]	6.0	0.001413760603204524
[of, other]	2.0	4.71253534401508E-4
[of, have]	1.0	2.35626767200754E-4
[of, most]	1.0	2.35626767200754E-4
[of, woman]	10.0	0.00235626767200754
[of, standard]	1.0	2.35626767200754E-4
[of, surgery]	1.0	2.35626767200754E-4
[of, radiation]	1.0	2.35626767200754E-4
[of, chemotherapy]	1.0	2.35626767200754E-4
[of, older]	2.0	4.71253534401508E-4
[of, all]	1.0	2.35626767200754E-4
[of, how]	2.0	4.71253534401508E-4
[of, hormone]	1.0	2.35626767200754E-4
[of, estrogen]	1.0	2.35626767200754E-4
[of, uterine]	1.0	2.35626767200754E-4
[of, those]	1.0	2.35626767200754E-4
[of, osteoporosis]	1.0	2.35626767200754E-4
[of, either]	1.0	2.35626767200754E-4
[of, we]	1.0	2.35626767200754E-4
[of, texas]	2.0	4.71253534401508E-4
[of, these]	2.0	4.71253534401508E-4
[of, what]	1.0	2.35626767200754E-4
[of, clinical]	2.0	4.71253534401508E-4
[of, oncology]	1.0	2.35626767200754E-4
[of, cell]	2.0	4.71253534401508E-4
[of, ductal]	1.0	2.35626767200754E-4
[of, northwestern]	1.0	2.35626767200754E-4
[of, oral]	2.0	4.71253534401508E-4
[of, gene]	1.0	2.35626767200754E-4
[of, melbourne]	1.0	2.35626767200754E-4
[of, 40]	1.0	2.35626767200754E-4
[of, health]	1.0	2.35626767200754E-4
[of, two]	1.0	2.35626767200754E-4
[of, protein]	1.0	2.35626767200754E-4
[of, dna]	3.0	7.06880301602262E-4
[of, public]	1.0	2.35626767200754E-4
[of, defens]	1.0	2.35626767200754E-4
[of, sister]	1.0	2.35626767200754E-4
[of, laboratory]	1.0	2.35626767200754E-4
[of, potentially]	2.0	4.71253534401508E-4
[of, heart]	1.0	2.35626767200754E-4
[of, both]	1.0	2.35626767200754E-4
[of, london]	1.0	2.35626767200754E-4
[of, preventive]	1.0	2.35626767200754E-4
[of, related]	2.0	4.71253534401508E-4
[of, oleic]	1.0	2.35626767200754E-4
[of, her-2]	2.0	4.71253534401508E-4
[of, herceptin]	1.0	2.35626767200754E-4
[of, resistance]	1.0	2.35626767200754E-4
[of, nutrient]	1.0	2.35626767200754E-4
[of, 171]	1.0	2.35626767200754E-4
[of, get]	1.0	2.35626767200754E-4
[of, environmental]	1.0	2.35626767200754E-4
[of, its]	1.0	2.35626767200754E-4
[of, learn]	1.0	2.35626767200754E-4
[drug, show]	2.0	4.71253534401508E-4
[drug, that]	1.0	2.35626767200754E-4
[drug, call]	1.0	2.35626767200754E-4
[drug, have]	1.0	2.35626767200754E-4
[drug, but]	1.0	2.35626767200754E-4
[drug, tamoxifen]	1.0	2.35626767200754E-4
[drug, use]	1.0	2.35626767200754E-4
[drug, winer]	1.0	2.35626767200754E-4
[drug, sr-16158]	1.0	2.35626767200754E-4
[show, grow]	2.0	4.71253534401508E-4
[show, to]	1.0	2.35626767200754E-4
[show, the]	1.0	2.35626767200754E-4
[show, that]	2.0	4.71253534401508E-4
[show, in]	1.0	2.35626767200754E-4
[show, radiation]	1.0	2.35626767200754E-4
[show, arimidex]	1.0	2.35626767200754E-4
[show, up]	1.0	2.35626767200754E-4
[grow, promise]	2.0	4.71253534401508E-4
[promise, as]	2.0	4.71253534401508E-4
